rank,name,realm,faction,rating,wins,losses,class,spec
200,Calmx,sargeras,ALLIANCE,2920,258,196,Unknown,Unknown
200,Freefromfate,ravencrest,ALLIANCE,2920,238,182,Druid,Feral
200,Wodferalz,proudmoore,ALLIANCE,2920,413,324,Unknown,Unknown
206,Hamborgir,sargeras,HORDE,2919,353,304,Unknown,Unknown
207,Iloveabby,sargeras,ALLIANCE,2918,202,134,Unknown,Unknown
207,Mvqdh,illidan,ALLIANCE,2918,331,224,Demon Hunter,Havoc
207,Teamwork,moon-guard,ALLIANCE,2918,279,190,Druid,Restoration
207,Souvlaki,amanthul,HORDE,2918,222,193,Priest,Holy
211,Puckerupcalm,darkspear,ALLIANCE,2917,152,108,Unknown,Unknown
211,Sintimissi,burning-blade,ALLIANCE,2917,317,242,Unknown,Unknown
211,Dragongunz,illidan,HORDE,2917,189,161,Evoker,Preservation
214,Hyouri,tichondrius,ALLIANCE,2916,191,150,Paladin,Holy
215,Bigbadbreezy,korgath,HORDE,2915,246,149,Paladin,Retribution
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Unknown,Unknown
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Blastncruise,korgath,ALLIANCE,2915,241,220,Unknown,Unknown
218,Pettyk,tichondrius,ALLIANCE,2914,152,76,Death Knight,Unholy
218,Mørnìngstär,illidan,ALLIANCE,2914,308,208,Rogue,Assassination
218,Kaskå,tichondrius,ALLIANCE,2914,343,288,Shaman,Restoration
221,Meepmonk,kilrogg,ALLIANCE,2913,161,106,Monk,Mistweaver
221,Meepmonk,kilrogg,ALLIANCE,2913,161,106,Monk,Mistweaver
222,Loggerpally,area-52,ALLIANCE,2912,178,89,Unknown,Unknown
222,Clonedome,thrall,ALLIANCE,2912,2657,1823,Druid,Balance
224,Rgx,tichondrius,ALLIANCE,2911,305,240,Paladin,Protection
224,Rinnegekz,tichondrius,ALLIANCE,2911,423,404,Priest,Discipline
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Unknown,Unknown
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
227,Kamáhleñ,malganis,ALLIANCE,2909,253,206,Evoker,Devastation
228,Emsti,illidan,HORDE,2908,301,214,Unknown,Unknown
228,Shardsxo,illidan,ALLIANCE,2908,626,479,Warlock,Destruction
228,Hansol,eitrigg,HORDE,2908,199,167,Unknown,Unknown
228,Hansol,eitrigg,HORDE,2908,199,167,Unknown,Unknown
228,Bubblebuddyy,tichondrius,ALLIANCE,2908,536,469,Unknown,Unknown
232,Shazuwu,tichondrius,ALLIANCE,2907,135,101,Paladin,Holy
232,Larosx,illidan,ALLIANCE,2907,490,445,Unknown,Unknown
234,Jessicajïn,illidan,ALLIANCE,2902,374,221,Unknown,Unknown
234,Legendarý,kelthuzad,ALLIANCE,2902,117,74,Mage,Arcane
236,Streetjudasx,kelthuzad,ALLIANCE,2900,211,128,Druid,Restoration
236,Doritocrunch,sargeras,ALLIANCE,2900,137,96,Unknown,Unknown
238,Jessicajìn,illidan,ALLIANCE,2898,287,186,Unknown,Unknown
238,Cindyloux,tichondrius,HORDE,2898,246,188,Priest,Holy
240,Humongousdam,illidan,ALLIANCE,2895,270,200,Druid,Feral
241,Substancex,illidan,ALLIANCE,2894,167,85,Unknown,Unknown
242,Kamähleñ,malganis,ALLIANCE,2889,322,259,Evoker,Devastation
243,Renner,zuljin,ALLIANCE,2887,272,195,Druid,Restoration
244,Slack,uldum,ALLIANCE,2886,339,200,Unknown,Unknown
245,Lesstatic,stormrage,ALLIANCE,2884,199,119,Shaman,Enhancement
245,Gaetanw,turalyon,ALLIANCE,2884,156,109,Warrior,Arms
245,Gaetanw,turalyon,ALLIANCE,2884,156,109,Warrior,Fury
247,Ishyeboi,stormrage,ALLIANCE,2883,158,106,Unknown,Unknown
247,Jigsåw,bleeding-hollow,ALLIANCE,2883,426,305,Demon Hunter,Havoc
